Title,Level,Correct_Answer,Category,Choice_1,Choice_2,Choice_3,Choice_4
How many loops are there in C++ 98?,Beginner, B,C++,2,3,4,1
"//What is the output of below C++ program?

#include 

int main()
{
 if(0)
 {
    std::cout<<""Hi"";
 }
 else
 {
    std::cout<<""Bye"";
 }
return 0;
}",Beginner, B,C++,Hi,Bye,HiBye,Compilation Error
"What following operator is called 
?: in C++?",Beginner, C,C++,Scope Resolution Operator,Conditional Operator,Ternary Operator,if else o/p
What is size of int data type in C++?,Beginner, D,C++,2 Bytes,4 Bytes,1 Byte,Depends on Compiler
Which operator can not be overloaded in C++?,Beginner, D,C++,+,-,*,::
Which operator has highest precedence in below list in C++?,Beginner, C,C++,+,-,++,*
"//What should be the output of below C++ program?

#include

int main()
{
int a=10; 
std::cout<(A) 11(B) 10(C) Error(D) 0 B  CompilerBeginneroperators in C++",Beginner, B,C++,11,10,Error,0
Can we typecast void * into int * in C++?,Practitioner, A,C++,Yes,No,Undefined,Depends on Compiler
What is correct syntax of a for loop in C++?,Beginner, A,C++,for(initialization;condition; increment/decrement),for(increment/decrement; initialization; condition),"for(initialization, condition, increment/decrement",None of These
"//Find the output of below C++ program? 

#include

void Execute(int &x, int y = 200)
{
 int TEMP = x + y;
 x+= TEMP;
 if(y!=200)
     std::cout<(A) 5020--5020--(B) 5020--7012020--12020--(C) 5020--70120200--5020(D) 5020--7050200--5020-- B  CompilerPractitionerfunction in C++",Practitioner, B,C++,5020--5020--,5020--7012020--12020--,5020--70120200--5020,5020--7050200--5020--
Can we overload functions in C++?,Beginner, A,C++,Yes,No,Compilation Error,Runtime Error
"//How many times CppBuzz.com is printed in below C++ program?

#include

int main()
{
    int i=0;
    lbl:
    std::cout<<""CppBuzz.com"";
    i++;
    if(i<5)
    {
	goto lbl;
    }

    return 0;

}",Practitioner, B,C++,Error,5 times,4 times,6 times
"//What is output of below C++ program?
#include

int main()
{
  const int a=10;
  a++;
  std::cout<(A) 10(B) 11(C) Compilation Error(D) Linking Error C  CompilerBeginneroperators in C++",Beginner, C,C++,10,11,Compilation Error,Linking Error
How to access and edit data in data file handling using structures,Practitioner, C,C++,read(),write(),both A and B,without read()
"Among the operators *, /, and %, which one has the highest precedence?",Practitioner, D,C++,*,/,%,all have same precedence
Which operator has highest precedence?,Beginner, A,C++,(),=,*,++
"//What is the value of a in below C++ program?

int main()
{
 int a, b=20;
 a = 90/b;
 return 0;
}",Beginner, C,C++,4.5,4,4,Compilation Error
"//What is the output of the following C++ program ?                   
#include

class base
{
public:
       base()
       {          
           cout<<""BCon"";
       }
       ~base()
       {
	   cout<<""BDest "";
       }
};
class derived: public base
{
public:
       derived()
       {     cout<<""DCon "";
       }
       ~derived()
       {     cout<<""DDest "";
       }
};

int main()
{
derived object;
return 0; 
}",Beginner, C,C++,Dcon DDest,Dcon DDest BCon BDest,BCon DCon DDest BDest,BCon DCon BDes DDest
"//What is the output of the below C++ program?

int main()
{
int a = 10;
cout<(A) 10(B) 11(C) 12(D) Not defined A  CompilerBeginneroperators in C++",Beginner, A,C++,10,11,12,Not defined
What is the full form of oop,Beginner, A,C++,Object oriented programming,Oriented object programming,Office oriented programming,office objective programming
"What is output of the below C++ program?

int main()
{
  int a=10;
  int b,c;
  b = a++;
  c = a;
  std::cout<(A) 111011(B) 111111(C) 101011(D) 101010 A  CompilerBeginneroperators in C++",Beginner, A,C++,111011,111111,101011,101010
Can a for loop contain another for loop?,Beginner, B,C++,No,Yes,Compilation Error,Runtime Error
Can a Structure contain pointer to itself?,Beginner, A,C++,Yes,No,Compilation Error,Runtime Error
What is size of void in bytes?,Beginner, D,C++,1,2,4,0
Can any function call itself?,Beginner, A,C++,Yes,No,Compilation Error,Runtime Error
"//What should be the output of below program?

#include

int main()
{
 
std::cout<<""CppBuzz"";;;;;  
 return 0;                                                                          
}",Beginner, C,C++,Compilation Error,Runtime Error,CppBuzz,CppBuzz;;;;
"//What should be the output?

#include
using namespace std;

int main() {
    int new = -10;
    std::cout<<""new is: ""<(A) new is: -10(B) new is: 10(C) Compilation Error(D) new is: 0 C  CompilerBeginnerloops in C++",Beginner, C,C++,new is: -10,new is: 10,Compilation Error,new is: 0
"What should be the output of below program?

#include

int main()
{
    int a = 1;
    switch(a)
    {
    case 1: std::cout<<""One"";
    case 2: std::cout<<""Two"";
    case 3: std::cout<<""Three"";
    default: std::cout<<""Default"";
    }
    return 0;

}",Practitioner, D,C++,One,Compilation Error,Default,OneTwoThreeDefault
What is size of void in C++?,Expert, D,C++,2 Bytes,4 Bytes,Undefined,0
C++ is superset of which langauge?,Beginner, D,C++,BASIC,VB,PASCAL,C
"#include

class Mycpp
{
    int Mycpp()
    {
       std::cout<<""Constructor"";
       return 0;
     }
};

int main()
{
    Mycpp obj;
    return 0;
}",Beginner, C,C++,Constructor,0,Compilation Error,Runtime Error
"#include

class Mycpp
{
    
};

int main()
{
    Mycpp obj;
    return 0;
}",Beginner, B,C++,Compilation Error - Constructor Missing,Nothing would be printed,Undefined,In constructor
"#include

class X
{
public: X()
        { std::cout<<""X""; }
        ~X()
        { std::cout<<""~X""; }
};

class Y : public X
{
public: Y()
        { std::cout<<""Y""; }
        ~Y()
        { std::cout<<""~Y""; }
};

int main()
{
    Y obj;
    return 0;
}",Expert, B,C++,XY~X~Y,XY~Y~X,X~XY~Y,X~X~YY
"#include

int main()
{

std::cout<<-1-1-1;

return 0;
}",Beginner, D,C++,Compilation Error,0,3,-3
When Virtual Table is created?,Expert, D,C++,Every Class has VTable,Class inherited from other Class,When a Class Overrides the function of  Base class,Class has atleast one Virtual Function
How many object can be created of a Class in C++?,Beginner, C,C++,1,5,There is no limit,256
What is abstract class?,Practitioner, C,C++,A class with abstract keyword,A class with no functions in it,A class with atleast one pure virtual function,Empty Class
What is the size of empty class?,Practitioner, B,C++,0,1,2,4
Can a class contain another class in it ?,Practitioner, A,C++,Yes,No,Can have but in different file,We can have in any scenario
Can we assign null to void pointer?,Expert, B,C++,No,Yes,Linking Time,No
Can we create our own workspace?,Practitioner, A,C++,Yes,No,GIT,Valgrind
When can we have two classes with same name?,Practitioner, B,C++,We cant have,In different work space,"By using extern ""C"" keyword",By Converting C++ code to C
Can we create array of reference?,Practitioner, A,C++,Yes,No,It cotains address of Object,None of these
Exceptions are Caught at ?,Expert, B,C++,Compilation Time,Run Time,3,4
Which of the following is Memory Leak detection tool?,Expert, D,C++,GC++,KDevelop,Pointer which is pointing to new location,None of these
Is const better than #define?,Beginner, A,C++,Yes,No,Depends on compiler,Depends on Compiler
Is it good idea to return an address or a reference of a local variable?,Beginner, B,C++,Yes,No,0,None of these
How to stop Name Mangling in C++?,Practitioner, C,C++,It is not possible,It is possible only with C code,Balance Binary Tree,List
Can we create object of Abstract class?,Practitioner, B,C++,Yes,No,Stack,We cant create object
"Is there any difference in below two statements?

int a = 10;
int a(10);",Beginner, B,C++,Yes,No,We can create 1 object,Depends on Compiler
Can we have Constructor in Abstract class?,Practitioner, B,C++,Yes,No,Both has are same,None of these
Can we have a reference to a pointer in C++?,Beginner, A,C++,Yes,No,Structure which contains another structure,-
Can we create pointer to Abstract class?,Practitioner, A,C++,Yes,No,+,Compilation Error
Can we create Nested classes in C++?,Practitioner, A,C++,Yes,No,Undefined,123
Can we reinitialize reference variable?,Beginner, B,C++,Yes,No,0,None of these
Can we overload Constructor?,Expert, A,C++,Yes,No,Six,12344
What is VTable?,Practitioner, B,C++,It contains VPTR,It contains address of Virtual function,123455,Infinite Times
Can this pointer point to another class?,Practitioner, B,C++,Yes,No,0,Dp@*Czz
How many Access specifier are there in C++?,Beginner, C,C++,1,2,cpp@buzz,"c1=-6,c2=-6"
What is dangling pointer?,Practitioner, B,C++,A pointer pointing to NULL,Pointer pointing to memory location which has been freed,"c1=-4,c1=b-3",5
Can we have Virtual Destructor ?,Practitioner, A,C++,Yes,No,4,1@2@2@
Can we have pure Virtual Destructor?,Practitioner, B,C++,Yes,No,1@1@2@,std::out_of_range
Can we call virtual function using object?,Expert, A,C++,Yes,No,std::runtime_error,std::bad_cast
"Is it mandatory to override virtual function
in Derived class?",Practitioner, B,C++,Yes,No,std::runtime_error,std::runtime_error
If a class(has one virtual function) has 5 Objects then how many Vtable it  will have?,Expert, B,C++,5,1,std::exception,.a
Can we have Pure Virtual Destructor?,Practitioner, B,C++,Yes,No,.lib,Depends on Compiler
Can we have constructor as Virtual?,Practitioner, B,C++,Yes,No,Address Space,PART-OF
Is duplicate data allowed in set?,Practitioner, B,C++,Yes,No,USES-A,None of these
The underlying data structure used for std::map in C++ is?,Practitioner, C,C++,AVL Tree,Binary Tree,Depends on compiler,C++ 17
Which STL container allows insertion and removal of data from any position?,Practitioner, D,C++,Vector,Deque,C++ 14,C++ 03
What is Singleton class?,Practitioner, C,C++,We can create n number of object,We can create max 256 objects,C++ 0X,>>
"Which one is more faster?
A - #include 
B - #include ""iostream.h""",Practitioner, A,C++,A,B,->,dynamic_cast
What is Self Referential Structure?,Practitioner, B,C++,Structure which contains pointers,Structure which has pointer to itself,reinterpret_cast,Compiler specific
"Which operator has more precedence among the following?

*
++
+
-",Beginner, B,C++,*,++,Not possible,None of these
"Comma(,) is the operator which has least precdence among all operator.",Beginner, A,C++,Yes,No,Compilation Error,C++ 11
