Title,Level,Correct_Answer,Category,Choice_1,Choice_2,Choice_3,Choice_4
Which of the following is not Constraint in SQL?,Beginner, D,SQL,Primary Key,Not Null,Check,Union
Which operator is used to match text while search?,Beginner, B,SQL,IN,LIKE,BETWEEN,IS
Which of the following operator select a range of data between two values?,Beginner, B,SQL,IN,BETWEEN,%,OR
Why use Full Join in sql?,Practionar, D,SQL,Return rows when there is at least one match in both tables,"Return all rows from the left table, even if there are no matches in the right table","Return all rows from the right table, even if there are no matches in the left table",Return rows when there is a match in one of the tables
"Sql supports single line comment, which of the following is single line comment?",Beginner, D,SQL,',"""",//,--
Indexes speed up SELECT's and slow down INSERT's,Practionar, A,SQL,TRUE,FALSE,"select, having, where, group by","select, where, group by, having"
A Primary Key is a column or a combination of columns that uniquely identify a record. Only one Candidate Key can be Primary Key,Beginner, A,SQL,TRUE,FALSE,It can take null values,None of these
A Candidate Key can be any column or a combination of columns that can qualify as unique key in database. There can be multiple Candidate Keys in one table. Each Candidate Key can qualify as Primary Key,Beginner, A,SQL,TRUE,FALSE,You can have only one primary key whereas you can have multiple unique keys,None of the above
Which of the following is the correct order of occurrence in a typical SQL statement?,Practionar, D,SQL,"select, group by, where, having","select, where, having, group byselect, having, where, group by",It is usually faster than DELETE command,None of these
Which of the following is true for a primary key?,Beginner, B,SQL,It can take a value more than once,It can’t take null values,SAVEPOINT,All of the these
Difference between a primary key and a unique key?,Practionar, C,SQL,Primary key cannot be a date variable whereas unique key can be,Primary key can take null values but unique key cannot null values,3 and 4,1 only
Which of the following is true for TRUNCATE in SQL?,Beginner, C,SQL,It is usually slower than DELETE command,There is no comparison between DELETE & TRUNCATE,It is mandatory to insert atleast a single row while creating a table,None of the above
Which of the following command(s) is /  are related to transaction control in SQL?,Beginner, D,SQL,COMMIT,ROLLBACK,Time,All of the Above
"Which of the following statement(s) is/are true for UPDATE in SQL?

1. You can update only a single table using UPDATE command
2. You can update multiple tables using UPDATE command
3. In UPDATE command, you must list what columns to update with their new values (separated by commas).
4. To update multiple targeted records, you need to specify UPDATE command using the WHERE clause.",Practionar, A,SQL,"1, 3 and 4","2, 3 and 4",Blob,None of the Above
Which of the following statement is correct about ‘CREATE TABLE’ command while creating a table?,Beginner, A,SQL,We need to assign a datatype to each column,We have flexibility in SQL. We can assign a datatype to column even after creating a table,,
"What are the various levels of constraints?

Constraints are the representation of a column to enforce data entity and consistency. There are two levels  of a constraint, namely:

1. column level constraint
2. table level constraint",Beginner, A,SQL,Datetimeoffset,Date,,
"What is the difference between ‘HAVING’ CLAUSE and a ‘WHERE’ CLAUSE?


HAVING clause can be used only with SELECT statement. It is usually used in a GROUP BY clause and whenever GROUP BY is not used, HAVING behaves like a WHERE clause. 

Having Clause is only used with the GROUP BY function in a query whereas WHERE Clause is applied to each row before they are a part of the GROUP BY function in a query.",Beginner, A,SQL,Text,Image,,
Which of the following data type is/are used for Date &  Time?,Beginner, D,SQL,,,,
"Which data type is used to store binary data upto 2,147,483,647?",Practionar, B,SQL,,,,
