Title,Level,Correct_Answer,Category,Choice_1,Choice_2,Choice_3,Choice_4
"public class MyClass {
public static void main(String[] args){
 int a = 10;
 System.out.println(a++++);
}
}",Practitioner, D,Java,11,12,13,Compilation Error
"public class CppBuzz{
public static void main(String[] args){
  int a = 10;
  System.out.println(a++);
  a++;
}
}",Beginner, A,Java,10,11,12,13
"public class CppBuzz {
public static void main(String[] args){
 int a = 10;
 System.out.println(a*a++);
}
}",Beginner, A,Java,100,110,121,Compilation Error
"public class CppBuzz {
public static void main(String[] args){
 int a = 10;
 System.out.println(a++*a++);
}
}",Beginner, B,Java,100,110,121,144
"public class CppBuzz {
public static void main(String[] args){
 int a = 10;
 System.out.println(++a*a++);
}
}",Beginner, A,Java,121,132,144,100
"public class CppBuzz {
public static void main(String[] args){
 int a = 10;
 System.out.println(++a*++a);
}
}",Beginner, C,Java,121,144,132,100
"public class CppBuzz {
public static void main(String[] args){
 int a = 10;
 System.out.println(a*a--);
}
}",Beginner, A,Java,100,90,81,80
"public class CppBuzz {
public static void main(String[] args){
 int a = 10;
 System.out.println(a--*a--);
}
}",Beginner, B,Java,100,90,99,72
"public class CppBuzz {
public static void main(String[] args){
 int a = 5+5*2+2*2+(2*3);
 System.out.println(a);
}
}",Beginner, D,Java,138,264,41,25
Which of the following operators has more precedance in Java?,Beginner, C,Java,-,+,*,<->
Which of the following is not an operator in Java?,Beginner, D,Java,|,^,~,Zero Fill Left Shift
What do you mean by >>> operator in Java,Expert, C,Java,Left Shift Operator,Right Shift Operator,Zero Fill Right Shift,>=
Which of the following operator has more precedence?,Beginner, A,Java,(),++,*,++
Which one of the following is an Unary operator in Java?,Beginner, D,Java,(),*,+,+=
Which one of the following is Equality operator in Java?,Beginner, C,Java,>=,<=,!=,We can't create reference variables of Local variables
Select Odd one out from these about local variables,Beginner, D,Java,"Local variables are declared in methods, constructors, or blocks","Local variables are created when the method, constructor or block is entered","the variable will be destroyed once it exits the method, constructor, or block",All of these
On which platforms Java runs?,Beginner, D,Java,Windows,Mac OS,UNIX,class
Java is case sensitive langauge,Beginner, A,Java,TRUE,FALSE,long,0
Java program processing always starts with main() method,Beginner, A,Java,TRUE,FALSE,1,2
"The main() method of an application has to be public. Otherwise, it could not be called by a Java interpreter. Is that true?",Beginner, A,Java,TRUE,FALSE,3,2
Java supports both Primitive & Non-Primitive(User Defined) datatypes. Which one of the following is not a primitive datatype?,Beginner, D,Java,byte,short,3,4
"How many times 'Hello' is printed?

public class CppBuzz {
public static void main(String[] args){
 for(int i = 0; i<5; i++)
 {
 System.out.println(""Hello"");
 break;
 }
}
}",Beginner, C,Java,5,4,3,3
"How many times 'Hello' is printed?

public class CppBuzz {
public static void main(String[] args){
 for(int i = 0; i<5; i++)
 {
 System.out.println(""Hello"");
 i++;
 }
}
}",Beginner, C,Java,5,4,2,Infinite times
"How many times 'Hello' is printed?

public class CppBuzz {
public static void main(String[] args){
 for(int i = 0; i<5; i++)
 {
 System.out.println(""Hello"");
 i++;
 i--;
 }
}
}",Practitioner, A,Java,5,4,2,0
"How many times 'Hello' is printed?

public class CppBuzz {
public static void main(String[] args){
 for(int i = 0; i<5; i++)
 {
 System.out.println(""Hello"");
 i+=2;
 }
}
}",Practitioner, B,Java,1,2,3,1
"public class CppBuzz {
public static void main(String[] args){
 for(int i = 0; i<5; i+=2)
 {
 System.out.println(""Hello"");
 i+=2;
 }
}
}",Practitioner, C,Java,0,1,2,Compilation Error
"How many times 'Hello' is printed?

public class CppBuzz {
public static void main(String[] args){
 for(int i = 0; i<5; )
 {
 System.out.println(""Hello"");
 }
}
}",Practitioner, D,Java,0,1,0,Compilation Error
"How many times 'Hello' is printed?

public class CppBuzz {
public static void main(String[] args){
 for(int i = 0; i>5; )
 {
  System.out.println(""Hello"");
 }
}
}",Practitioner, D,Java,5,4,510,Compilation Error
